filename,class,wikimedia_title,source_url,image_url,license,artist,width,height,category
emergency_0000.jpg,emergency,File:2024 Valdosta Bluesberry Festival 60.jpg,https://commons.wikimedia.org/wiki/File:2024_Valdosta_Bluesberry_Festival_60.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/2024_Valdosta_Bluesberry_Festival_60.jpg/960px-2024_Valdosta_Bluesberry_Festival_60.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Mjrmtg,960,640,Police vehicles
emergency_0001.jpg,emergency,File:A Rainy Day in Edenfield - geograph.org.uk - 1007289.jpg,https://commons.wikimedia.org/wiki/File:A_Rainy_Day_in_Edenfield_-_geograph.org.uk_-_1007289.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/A_Rainy_Day_in_Edenfield_-_geograph.org.uk_-_1007289.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 2.0,Paul Anderson,640,480,Police vehicles
emergency_0002.jpg,emergency,"File:Athens-Clarke County Police Department (ACCPD) vehicle in Athens, Georgia.jpg","https://commons.wikimedia.org/wiki/File:Athens-Clarke_County_Police_Department_(ACCPD)_vehicle_in_Athens,_Georgia.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Athens-Clarke_County_Police_Department_%28ACCPD%29_vehicle_in_Athens%2C_Georgia.jpg/960px-Athens-Clarke_County_Police_Department_%28ACCPD%29_vehicle_in_Athens%2C_Georgia.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Harrison Keely,960,720,Police vehicles
emergency_0003.jpg,emergency,"File:EV1 Plug-in America ""Don't Crush"" Campaign (4999478783).jpg",https://commons.wikimedia.org/wiki/File:EV1_Plug-in_America_%22Don%27t_Crush%22_Campaign_(4999478783).jpg,https://upload.wikimedia.org/wikipedia/commons/7/79/EV1_Plug-in_America_%22Don%27t_Crush%22_Campaign_%284999478783%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 2.0,Plug In America,639,425,Police vehicles
emergency_0004.jpg,emergency,"File:IAA Summit 2023, Munich (P1110646).jpg","https://commons.wikimedia.org/wiki/File:IAA_Summit_2023,_Munich_(P1110646).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/IAA_Summit_2023%2C_Munich_%28P1110646%29.jpg/960px-IAA_Summit_2023%2C_Munich_%28P1110646%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Matti Blume,960,1280,Police vehicles
emergency_0005.jpg,emergency,"File:Italian Polizia patrol car at St Peter’s Square, Vatican City.jpg","https://commons.wikimedia.org/wiki/File:Italian_Polizia_patrol_car_at_St_Peter%E2%80%99s_Square,_Vatican_City.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Italian_Polizia_patrol_car_at_St_Peter%E2%80%99s_Square%2C_Vatican_City.jpg/960px-Italian_Polizia_patrol_car_at_St_Peter%E2%80%99s_Square%2C_Vatican_City.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,Wilfredor,960,655,Police vehicles
emergency_0006.jpg,emergency,File:Kolkata Police ambulance - Wikimedia Photowalk Kolkata 20111218 IMG 4595.jpg,https://commons.wikimedia.org/wiki/File:Kolkata_Police_ambulance_-_Wikimedia_Photowalk_Kolkata_20111218_IMG_4595.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Kolkata_Police_ambulance_-_Wikimedia_Photowalk_Kolkata_20111218_IMG_4595.jpg/960px-Kolkata_Police_ambulance_-_Wikimedia_Photowalk_Kolkata_20111218_IMG_4595.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,BengaliHindu,960,640,Police vehicles
emergency_0007.jpg,emergency,File:Militares (17393343021).jpg,https://commons.wikimedia.org/wiki/File:Militares_(17393343021).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Militares_%2817393343021%29.jpg/960px-Militares_%2817393343021%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,Núcleo Editorial,960,637,Police vehicles
emergency_0008.jpg,emergency,File:Police Lead The March - cropped (2).jpg,https://commons.wikimedia.org/wiki/File:Police_Lead_The_March_-_cropped_(2).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Police_Lead_The_March_-_cropped_%282%29.jpg/960px-Police_Lead_The_March_-_cropped_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,Michael Coghlan,960,652,Police vehicles
emergency_0009.jpg,emergency,File:Police Lead The March - cropped (cropped).jpg,https://commons.wikimedia.org/wiki/File:Police_Lead_The_March_-_cropped_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Police_Lead_The_March_-_cropped_%28cropped%29.jpg/960px-Police_Lead_The_March_-_cropped_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 2.0,Michael Coghlan,960,603,Police vehicles
emergency_0010.jpg,emergency,File:Policia e Kosovës - Veturat e njësitit K9.jpg,https://commons.wikimedia.org/wiki/File:Policia_e_Kosov%C3%ABs_-_Veturat_e_nj%C3%ABsitit_K9.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Policia_e_Kosov%C3%ABs_-_Veturat_e_nj%C3%ABsitit_K9.jpg/960px-Policia_e_Kosov%C3%ABs_-_Veturat_e_nj%C3%ABsitit_K9.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Unknown authorUnknown author,960,535,Police vehicles
